,templates,frequency,predicates,frequency,attributes,frequency
0,device measures current,189,measures,463,person,7206
1,person ruled egypt,174,invented,428,animal,1050
2,person controlled china,169,ruled,419,america,872
3,person is the governor of california,167,was born in,404,france,604
4,person was born in america,162,lives in,360,lincoln,586
5,person was president after roosevelt,160,controlled,332,device,586
6,person controlled japan,160,fought in,299,the united states,582
7,person assassinated lincoln,149,became,279,china,568
8,person invented the telephone,149,is the governor of,269,european country,567
9,person gave birth to the queen,146,was the king of,269,england,553
